Course,Name,Prerequisite Courses,Prerequisite Credits,SU Credits,ECTS Credits,Type,Information System URL,Sabancı Website URL,Corequisite Courses,Faculty,General Requirements ,,,,,,,,,,
BIO 444,Bioengineering,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
BIO 445,Plant Tissue Culture Techniques,__,,3,7,Free Elective,Information System,Sabancı University,BIO 445L,FENS,,,,,,,,,,,
BIO 446,Biology of Aging,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
BIO 447,Plant Breeding,__,,3,5,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
BIO 452,Immunology,NS 201,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
BIO 466,Biophysics: Molecules and Systems,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
BIO 467,Signal Transduction,NS 201,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
BIO 48006,Special Topics in BIO: Gene Regulation and Disease,BIO 332 and BIO 301,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CHEM 202,Chemical Kinetics,__,,4,7,Free Elective,Information System,Sabancı University,CHEM 202L,FENS,,,,,,,,,,,
CHEM 301,Inorganic Chemistry,__,,3,6,Free Elective,Information System,Sabancı University,CHEM 301L,FENS,,,,,,,,,,,
CHEM 302,Analytical Chemistry,__,,4,7,Free Elective,Information System,Sabancı University,CHEM 302L,FENS,,,,,,,,,,,
CHEM 369,Chemistry of Transformable Materials,NS 207,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CHEM 405,Electrochemistry,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CHEM 421,Clean Coal Technology,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CIP 101N,Civic Involvement Projects I-N,__,,0,1,University Courses,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CONF 300,Conflict Analysis and Resolution,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CONF 400,International Conflict and Peace,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CONF 431,Conflict Resolution Practice,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CS 201,Introduction to Computing,IF 100,,3,6,"Required Course, Faculty Course",Information System,Sabancı University,CS 201R,FENS,,,,,,,,,,,
CS 204,Advanced Programming,CS 201,,3,6,"Required Course, Faculty Course",Information System,Sabancı University,CS 204L,FENS,,,,,,,,,,,
CS 210,Introduction to Data Science,IF 100 and MATH 203,,3,6,"Core Elective, Faculty Course",Information System,Sabancı University,CS 210R,FENS,,,,,,,,,,,
CS 300,Data Structures,CS 204,,3,6,Required Course,Information System,Sabancı University,CS 300R,FENS,,,,,,,,,,,
CS 301,Algorithms,MATH 204 and CS 300,,3,6,Required Course,Information System,Sabancı University,CS 301R,FENS,,,,,,,,,,,
CS 302,Formal Languages and Automata Theory,__,,3,6,Core Elective,Information System,Sabancı University,CS 302R,FENS,,,,,,,,,,,
CS 303,Logic and Digital System Design,__,,4,7,Required Course,Information System,Sabancı University,"CS 303L, and CS 303R",FENS,,,,,,,,,,,
CS 305,Programming Languages,CS 204,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 306,Database Systems,CS 204,,3,6,Core Elective,Information System,Sabancı University,CS 306R,FENS,,,,,,,,,,,
CS 307,Operating Systems,CS 204,,3,6,Core Elective,Information System,Sabancı University,CS 307R,FENS,,,,,,,,,,,
CS 308,Software Engineering,CS 204,,4,7,Core Elective,Information System,Sabancı University,CS 308L,FENS,,,,,,,,,,,
CS 310,Mobile Application Development,CS 204,,3,6,Core Elective,Information System,Sabancı University,CS 310R,FENS,,,,,,,,,,,
CS 395,Internship Project,PROJ 102 or PROJ 201,,0,5,Required Course,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 400,Logic in Computer Science,MATH 204,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 401,Computer Architectures,CS 303,,4,6,Core Elective,Information System,Sabancı University,CS 401L,FENS,,,,,,,,,,,
CS 402,Compiler Design,CS 305,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 403,Distributed Systems,CS 307,,3,6,Core Elective,Information System,Sabancı University,CS 403L,FENS,,,,,,,,,,,
CS 404,Artificial Intelligence,CS 201,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 405,Computer Graphics,CS 300,,3,6,Core Elective,Information System,Sabancı University,CS 405L,FENS,,,,,,,,,,,
CS 406,Parallel Computing,CS 301,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 407,Theory of Computation,CS 302,,3,6,Core Elective,Information System,Sabancı University,CS 407R,FENS,,,,,,,,,,,
CS 408,Computer Networks,CS 204,,3,6,Core Elective,Information System,Sabancı University,CS 408L,FENS,,,,,,,,,,,
CS 411,Cryptography,MATH 204,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 412,Machine Learning,MATH 201 and MATH 203,,3,6,Core Elective,Information System,Sabancı University,CS 412R,FENS,,,,,,,,,,,
CS 432,Computer and Network Security,CS 408 or TE 404 or EE 414,,3,6,Core Elective,Information System,Sabancı University,CS 432L,FENS,,,,,,,,,,,
CS 437,Cybersecurity Practices and Applications,CS 408,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 439,Software Verification and Validation,__,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 445,Natural Language Processing,CS 204 and CS 210,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 449,Human Computer Interaction,IF 100,,3,6,Core Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 450,Arts and Computing,__,,3,6,Area Elective,Information System,Sabancı University,CS 450L,FENS,,,,,,,,,,,
CS 48000,Special Topics in CS: Software Design Patterns,CS 308,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 48001,Special Topics in CS: Blockchain: Security and Applications,__,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 48002,Special Topics in CS: Network Science,CS 210,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 48003,Special Topics in CS: Parallel Computer Architecture,CS 303,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 48004,Special Topics in CS: Agile Software Development,CS 308,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 48006,Special Topics in CS: Decentralized Finance,CS 48001,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CS 48007,Special Topics in CS: Internet of Things Sensing System,CS 204,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
CULT 201,Theory and Practice in Cultural Studies,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 222,Popular Culture and Everyday Life,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 223,"Consumption, Food and Culture",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 225,Advertising and Culture,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 230,Introduction to Media Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 299,Topics in Turkish Cultural Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 322,Youth Culture,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 324,Humans and Clones,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
CULT 325,Media Worlds,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
