Course,Name,Prerequisite Courses,Prerequisite Credits,SU Credits,ECTS Credits,Type,Information System URL,Sabancı Website URL,Corequisite Courses,Faculty,General Requirements ,,,,,,,,,,
EE 414,Multimedia Communication,CS 201,,3,6,Area Elective,Information System,Sabancı University,EE 414R,FENS,,,,,,,,,,,
EE 415,Digital Speech and Audio Processing,TE 302 or EE 312,,3,6,Area Elective,Information System,Sabancı University,EE 415R,FENS,,,,,,,,,,,
EE 417,Computer Vision,CS 201,,3,6,Core Elective,Information System,Sabancı University,EE 417L,FENS,,,,,,,,,,,
EE 419,Signal Processing Design and Implementation,TE 302 or EE 312,,3,6,Area Elective,Information System,Sabancı University,EE 419L,FENS,,,,,,,,,,,
EE 440,Mixed-Signal Integrated Circuits,EE 302 and EE 303,,3,6,Free Elective,Information System,Sabancı University,EE 440L,FENS,,,,,,,,,,,
EE 444,Optics,ENS 201 and ENS 203 and ENS 211,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
EE 473,Biomedical Instrumentation,ENS 203,,3,6,Free Elective,Information System,Sabancı University,EE 473L,FENS,,,,,,,,,,,
EE 48000,Special Topics in EE: RF Integrated Circuits Design,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
EE 48001,Special Topics in EE: Nanoscale Integrated Circuit Design,__,,3,10,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
EE 48002,Special Topics in EE: Sensor Networks,__,,3,10,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
EE 48004,Special Topics in EE: Power systems analysis,__,,3,10,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 201,Electromagnetics I,NS 101 and MATH 102,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ENS 201R,FENS,,,,,,,,,,,
ENS 202,Thermodynamics,NS 102,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ENS 202R,FENS,,,,,,,,,,,
ENS 203,Electronic Circuits I,MATH 102,,3,6,"Area Elective, Faculty Course",Information System,Sabancı University,ENS 203R,FENS,,,,,,,,,,,
ENS 204,Mechanics,NS 101 and MATH 102,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ENS 204R,FENS,,,,,,,,,,,
ENS 205,Introduction to Materials Science,NS 102 and MATH 102,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ENS 205R,FENS,,,,,,,,,,,
ENS 206,Systems Modeling and Control,MATH 102 and MATH 201,,3,6,"Core Elective, Faculty Course",Information System,Sabancı University,ENS 206R,FENS,,,,,,,,,,,
ENS 207,Introduction to Energy Systems,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ENS 207R,FENS,,,,,,,,,,,
ENS 208,Introduction to Industrial Engineering,IF 100 and MATH 102,,3,6,"Area Elective, Faculty Course",Information System,Sabancı University,ENS 208R,FENS,,,,,,,,,,,
ENS 209,Introduction to Computer Aided Drafting and Solid Modeling,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,"ENS 209L, and ENS 209R",FENS,,,,,,,,,,,
ENS 210,Computational Biology,MATH 101 and IF 100,,3,6,"Core Elective, Faculty Course",Information System,Sabancı University,ENS 210L,FENS,,,,,,,,,,,
ENS 211,Signals,MATH 101,,3,6,"Core Elective, Faculty Course",Information System,Sabancı University,ENS 211R,FENS,,,,,,,,,,,
ENS 214,Dynamics,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ENS 214R,FENS,,,,,,,,,,,
ENS 222,Biological Circuits and Molecular Machines,__,,3,6,Area Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 301,Energy Systems and Environment,NS 101 and NS 102,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 302,Technology and Society,__,,3,5,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 303,Introduction to Space Technology,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 309,Computer Aided Engineering,ENS 209 and IE 309,,3,6,Free Elective,Information System,Sabancı University,"ENS 309L, and ENS 309R",FENS,,,,,,,,,,,
ENS 315,Energy,__,,3,5,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 409,Numerical Analysis,CS 201,,3,6,Area Elective,Information System,Sabancı University,ENS 409R,FENS,,,,,,,,,,,
ENS 413,Experimental Methods in Nanoscience I,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 414,Experimental Methods in Nanoscience II,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 416,Introduction to Scanning Probe Microscopy,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 48000,"Special Topics in FENS: Energy: Supply Chain, Economics and Geopolitics",__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 48001,Special Topics in FENS: Materials Selection in Product Design,ENS 205,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 48002,Special Topics in FENS: Analysis of Social Networks,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
ENS 4803,Special Topics in FENS: Nanobiotechnology,__,,3,7,Free Elective,Information System,Sabancı University,ENS 4803L,FENS,,,,,,,,,,,
ENS 491,Graduation Project (Design),__,80,1,2,Required Course,Information System,Sabancı University,ENS 491R,FENS,"80.000 credits 

000  to  9999,Minimum Grade of  D,May not be taken concurrently.",,,,,,,,,,
ENS 492,Graduation Project (Implementation),ENS 491 or ENS 491,,3,5,Required Course,Information System,Sabancı University,__,FENS,,,,,,,,,,,
FILM 231,Introduction to Film Studies,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
FILM 331,Approaches to Film Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
FILM 335,Critical Perspectives on Turkish Cinema,__,,3,6,Free Elective,Information System,Sabancı University,FILM 335L,FASS,,,,,,,,,,,
FILM 345,International Cinemas,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
FILM 390,Topics in Film Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
FILM 424,Anthropology and Film,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
FILM 432,"Vision, Representation and Cinema",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
FILM 435,Documentary: Context and Practice-I,__,,3,6,Free Elective,Information System,Sabancı University,FILM 435L,FASS,,,,,,,,,,,
FILM 436,Documentary Context and Practice-II,FILM 435,,3,6,Free Elective,Information System,Sabancı University,FILM 436L,FASS,,,,,,,,,,,
FILM 452,Psychoanalysis and Film,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
FIN 301,Financial Management,__,,3,6,Free Elective,Information System,Sabancı University,FIN 301R,SBS,,,,,,,,,,,
FIN 401,Corporate Finance,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 402,Investments,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 403,Derivative Securities,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 404,Multinational Corporate Finance,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 405,Corporate Mergers & Acquisitions,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 406,Behavioral Finance,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 407,Entrepreneurship and Venture Capital,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 408,Financial Products,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 409,Banking and Financial Intermediation,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 450,Selected Topics in Finance I,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 451,Selected Topics in Finance II,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
FIN 499,Wealth Management,FIN 301 or IE 303,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
GEN 341,Myths of Gender,__,,3,6,Free Elective,Information System,Sabancı University,GEN 341D,FASS,,,,,,,,,,,
GEN 343,Topics In Gender & Sexuality Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 383,Gender and Migration,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 399,Independent Study in Gender Studies,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 410,Gender and Politics,GEN 341 or CULT 341,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 441,Gender in the Middle East,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 442,Gendered Memories of War and Political Violence,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 444,Gender and Sexuality in Turkey,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
GEN 480,Men and Mesculinities,GEN 341 or CULT 341,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 213,History of Photography and Moving Image,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 234,Classical Mythology in Art,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 292,From Modern to Contemporary Art,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 293,Contemporary Art,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 311,Renaissance Art,HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 312,Renaissance Visuality II (Cinquecento),HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 320,Women Artists,HUM 202 or HUM 212,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 323,Art and Power,SPS 101 and HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 330,The Imaginary of the Middle Ages in Modern Art and Popular Culture,SPS 101 and SPS 102 and HUM 201 and HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 333,Heavenly Spires: Introduction to Medieval European Art and Architecture,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 334,Roman Art in Context,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 392,Art in the Age of Transition (from Renaiss. to Early Modern),__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 411,Art in the age of Revolt: Early Modernity,HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 413,Visual Arts in Turkey,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 414,Post 60 Turkish Art,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 424,Art Project at the Museum,HUM 202 or HUM 212,,1,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 425,Art & History at the Museum,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 426,Leonardo and Michelangelo: Heroes of the Renaissance,SPS 101 and SPS 102 and HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 431,The Dome of Gold : The Art of the Byzantine Empire,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 432,Post-1945 American Art,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 434,Art and Architecture of the Medieval Mediterranean,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 444,Designing the Nation. Art and Nationalism,SPS 101 and SPS 102 and (HUM 202 or HUM 212),,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 450,Caravaggio,HUM 202 and HART 311,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HART 480,Bauhaus,HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 191,Principles of Atatürk and the History of the Turkish Revolution I,__,,2,3,University Courses,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 192,Principles of Atatürk and the History of the Turkish Revolution II,HIST 191,,2,3,University Courses,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 205,History of the Twentieth Century,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 221,Renaissance and Reformation Europe,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 223,Women in Pre-Modern Societies,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 227,History Goes to the Movies,SPS 101 or SPS 102,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 233,"The Medieval Hero, East and West",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 242,The Age of Revolution 1789-1848,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 245,"Men, Ships and the Sea",SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 285,The Süleymanic Era,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 315,Episodes in the History of Science I,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 316,Episodes in the History of Science II,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 323,Revolutions in History,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 324,A History of North America up to the Reconstruction Era,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 326,Latin American History and Culture,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 331,Early Islamic History : A Survey,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 332,Islamic History: the Middle Period (c.945 - 1500),__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 335,"The Gunpowder Empires of the Islamic World, ca. 1450-1800",SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 336,History of Central and Inner Asia,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 341,War and Society II : The Military Revolution and the Genesis of the Modern State,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 348,Diplomatic History of the Modern Era I (1815-1950),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 349,Diplomatic History of the Modern Era II (1945-2004),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 370,History of a City I : From Byzantion to Constantinople,SPS 101 and HUM 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 371,"History of a City II : Ottoman Istanbul, 1450-1900",SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 385,"The Ottomans, Europe and the World in the Sixteenth",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 397,Late Ottoman and Modern Turkish Foreign Policy,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 406,The Twentieth Century Through Art and Literature,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 415,The Scientific Revolution,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 423,Nature and Empires,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 424,"Family, Childhood and Gender in European History",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 425,The History of Childhood and Youth in Modern Europe and the Ottoman Empire,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 427,"Education, Literacy, Printing",SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 431,Introduction to Byzantine History (AD 300-1453),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 433,Medieval Europe: A Social and Economic History,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 434,Russian History I : Tsarist Russia (from the 17th Century to 1917),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 436,History of The Modern Middle East,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 437,"Empires, Nations, and their Aftermath: Central and Eastern Europe in the 19th and 20th centuries",SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 438,The Economic History of the Middle East Since World War II,ECON 202,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 439,Christians In The Ottoman Empire,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 441,The Enlightenment World,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 443,War and Society IV: World War I and the Ottoman Empire,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 447,Palestine versus the Palestinians,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 450,"The Eastern Question, 1768-1923",SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 455,History of the Balkan Lands up to the Early 19th Century and the Onset of Tanzimat Modernization,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 461,Ottoman Reform Movements I (1550-1839),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 462,Ottoman Reform Movements II:Political and Social Reforms (1839-1918),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 463,Social and Economic History of the Ottoman Empire,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 465,"Love, Entertainment and Daily Culture in Ottoman Poetry, 1400-1800",SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 473,Approaches to Agrarian Societies,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 475,Postorientalism and Postcolonialism,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 476,Late Ottoman and Modern Turkish Politics and Literature,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 484,Peripheral Populations in the Ottoman Empire (1300-1914),SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 485,Minority Questions in Contemporary Turkey,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 486,Topics in Armenian History and Literature,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 487,Proto-Fascism in Europe and the Ottoman Empire,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 488,Nationalist Projects in Southeast European History,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 489,From Empire to Republic : Turkish Nationalism and the Nation-State,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 490,Texts and Constructions of National Memory II : Reading the Republican Historians,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 491,Popular Culture and Nationalism,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 492,War and Literature in Turkish History,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 493,"Caucasus and its Hinterland: Clans, Ethnicities and Nations in Imperial Borderlands",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 494,Recent Turkish Political and Social History : Impressions and Inferences from Memoirs,SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 497,"Nations and Boundaries in the Middle East, the Balkans and the Caucasus",SPS 101 or SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HIST 498,A History of the Cyprus Conflict,SPS 101 and SPS 102,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HUM 201,Major Works of Literature,__,23,3,5,University Courses,Information System,Sabancı University,HUM 201D,FASS,"23.000 credits

Course or Test:  
SPS 101,Minimum Grade of  D, May not be taken concurrently.
SPS 102,Minimum Grade of  D, May not be taken concurrently.

and 000  to  9999,Minimum Grade of  D, May not be taken concurrently.",,,,,,,,,,
HUM 202,Major Works of Western Art,__,23,3,5,University Courses,Information System,Sabancı University,HUM 202D,FASS,"23.000 credits

Course or Test:  
SPS 101,Minimum Grade of  D, May not be taken concurrently.
SPS 102,Minimum Grade of  D, May not be taken concurrently.

and 000  to  9999,Minimum Grade of  D, May not be taken concurrently.",,,,,,,,,,
HUM 207,Major Works of Western Philosophy,__,23,3,5,University Courses,Information System,Sabancı University,HUM 207D,FASS,"23.000 credits

Course or Test:  
SPS 101,Minimum Grade of  D, May not be taken concurrently.
SPS 102,Minimum Grade of  D, May not be taken concurrently.

and 000  to  9999,Minimum Grade of  D, May not be taken concurrently.",,,,,,,,,,
HUM 413,Genres and Styles of Western Music,HUM 204,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
HUM 414,Orientalism in Western Classical Music,HUM 204 or HUM 214,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
IE 302,Stochastic Models in Operations Research,MATH 203 and (MS 301 or IE 301 or IE 311),,4,7,Area Elective,Information System,Sabancı University,IE 302R,FENS,,,,,,,,,,,
IE 303,Decision Economics,__,,3,6,Free Elective,Information System,Sabancı University,IE 303R,FENS,,,,,,,,,,,
IE 304,Production and Service Systems Planning and Design,MS 301 or IE 301 or IE 311,,3,6,Free Elective,Information System,Sabancı University,IE 304R,FENS,,,,,,,,,,,
IE 305,Simulation,MATH 306,,3,6,Area Elective,Information System,Sabancı University,IE 305R,FENS,,,,,,,,,,,
IE 306,Human Factors Engineering,MATH 306,,3,5,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 308,Cost Analysis and Control,MS 303 or IE 303,,3,5,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 309,Manufacturing Processes I,ENS 205,,3,6,Free Elective,Information System,Sabancı University,IE 309R,FENS,,,,,,,,,,,
IE 311,Operations Research I,MATH 201 and ENS 208,,3,6,Area Elective,Information System,Sabancı University,IE 311R,FENS,,,,,,,,,,,
IE 312,Operations Research II,IE 311 or IE 301,,3,6,Free Elective,Information System,Sabancı University,IE 312R,FENS,,,,,,,,,,,
IE 313,Operations Research III,IE 305,,3,6,Area Elective,Information System,Sabancı University,IE 313R,FENS,,,,,,,,,,,
IE 398,Integrated Manufacturing Systems- Special Studies,IE 309 and ENS 209,,1,1,Free Elective,Information System,Sabancı University,IE 402,FENS,,,,,,,,,,,
IE 399,Individual Studies in Operations Research,__,,1,4,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 401,Production and Service Systems Operations,MS 301 or IE 301 or IE 311,,3,6,Free Elective,Information System,Sabancı University,IE 401R,FENS,,,,,,,,,,,
IE 402,Integrated Manufacturing Systems,(MS 309 or IE 309) and ENS 209,,3,6,Free Elective,Information System,Sabancı University,IE 402L,FENS,,,,,,,,,,,
IE 403,Quality Planning and Control,MATH 306,,3,6,Free Elective,Information System,Sabancı University,IE 403R,FENS,,,,,,,,,,,
IE 405,Decision Analysis,MATH 306,,3,6,Area Elective,Information System,Sabancı University,IE 405R,FENS,,,,,,,,,,,
IE 407,Investment Decision Making,MS 303 or IE 303,,3,6,Free Elective,Information System,Sabancı University,IE 407R,FENS,,,,,,,,,,,
IE 408,Reliability and Maintenance Analysis,MATH 306 and (MS 304 or IE 304),,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 409,Project Scheduling and Management,(MS 301 or IE 301 or IE 311) and (MS 303 or IE 303),,3,6,Area Elective,Information System,Sabancı University,IE 409R,FENS,,,,,,,,,,,
IE 411,Modeling and Analysis of Large Systems,MS 302 or IE 302,,3,6,Free Elective,Information System,Sabancı University,IE 411R,FENS,,,,,,,,,,,
IE 412,Financial Engineering,MS 303 or IE 303,,3,6,Free Elective,Information System,Sabancı University,IE 412R,FENS,,,,,,,,,,,
IE 413,Information Systems,__,,3,5,Area Elective,Information System,Sabancı University,IE 413R,FENS,,,,,,,,,,,
IE 414,Manufacturing and Digitalization Strategies,MS 304 or IE 304,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 415,Decision Support Systems,CS 201 and (MS 301 or IE 301 or IE 311),,3,6,Area Elective,Information System,Sabancı University,IE 415R,FENS,,,,,,,,,,,
IE 416,Additive Manufacturing,ENS 209,,3,7,Free Elective,Information System,Sabancı University,IE 416L,FENS,,,,,,,,,,,
IE 417,Facilities and Material Handling Design,MS 304 or IE 304,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 418,Manufacturing Processes II,MS 309 or IE 309,,3,6,Free Elective,Information System,Sabancı University,IE 418L,FENS,,,,,,,,,,,
IE 419,Total Quality Management,MATH 306,,3,5,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
IE 420,Storage and Distribution Systems,IE 301 or MS 301 or IE 311,,3,6,Free Elective,Information System,Sabancı University,IE 420R,FENS,,,,,,,,,,,
IE 425,Computational Operations Research,(MS 302 or IE 302) and (MS 305 or IE 305),,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
